Brand Name,Year,Car_variant,Selling Price,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Location
Tata Tiago,2019,XZ 1.2 REVOTRON ,545499,10222,Petrol,Manual,1st Owner,New Delhi
Honda City,2020,VX MT PETROL ,1320699,6629,Petrol,Manual,1st Owner,New Delhi
Maruti Swift Dzire,2016,VDI ABS ,495699,91792,Diesel,Manual,1st Owner,New Delhi
Hyundai i20,2013,SPORTZ 1.4 CRDI ,336499,64789,Diesel,Manual,1st Owner,New Delhi
Maruti Alto,2019,VXI ,401899,4210,Petrol,Manual,1st Owner,New Delhi
Maruti Alto K10,2017,VXI (O) AMT ,373799,12159,Petrol,Automatic,2nd Owner,New Delhi
Honda Amaze,2013,1.2 EMT I VTEC ,421199,31102,Petrol,Manual,1st Owner,New Delhi
Maruti Celerio,2015,VXI AT ,365799,122112,Petrol,Automatic,2nd Owner,New Delhi
Maruti New Wagon-R,2021,1.0 Lxi (o) cng ,615499,16945,Petrol + CNG,Manual,1st Owner,New Delhi
Volkswagen Polo,2015,COMFORTLINE 1.2L PETROL ,399199,93769,Petrol,Manual,1st Owner,New Delhi
Mahindra Kuv100,2017,K6+ 6 STR ,345899,51310,Petrol,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2020,ZXI AT SHVS ,1063999,17557,Petrol,Automatic,1st Owner,New Delhi
Honda Brio,2015,1.2 VX AT I VTEC ,461399,34568,Petrol,Automatic,1st Owner,New Delhi
Maruti Ciaz,2016,VXI PLUS ,599119,57845,Petrol,Manual,2nd Owner,New Delhi
Honda Amaze,2017,1.2 SMT I VTEC ,452199,71902,Petrol,Manual,1st Owner,New Delhi
Ford Ecosport,2016,1.5 TITANIUM TI VCT ,691899,35037,Petrol,Manual,1st Owner,New Delhi
Tata NEXON,2021,XZ+ 1.5 ,1261699,6247,Diesel,Manual,1st Owner,New Delhi
Hyundai Creta,2015,1.6 S ,825599,49566,Petrol,Manual,1st Owner,New Delhi
Maruti Alto,2019,VXI ,375899,23209,Petrol,Manual,1st Owner,New Delhi
Maruti Celerio X,2018,ZXI OPT AMT ,493999,47610,Petrol,Automatic,1st Owner,New Delhi
Maruti Alto K10,2018,VXI ,361499,19270,Petrol,Manual,2nd Owner,New Delhi
Maruti Vitara Brezza,2019,VDI ,803199,40785,Diesel,Manual,1st Owner,New Delhi
Hyundai Grand i10,2016,SPORTZ 1.2 KAPPA VTVT ,444299,66712,Petrol,Manual,1st Owner,New Delhi
Maruti Baleno,2016,ZETA 1.2 K12 ,587799,52334,Petrol,Manual,1st Owner,New Delhi
Hyundai Grand i10,2016,ASTA 1.2 KAPPA VTVT ,473199,45605,Petrol,Manual,1st Owner,New Delhi
Hyundai Creta,2016,1.6 S ,843399,26137,Petrol,Manual,1st Owner,New Delhi
Audi A3,2014,2.0 TDI PREMIUM ,1261499,51934,Diesel,Automatic,1st Owner,New Delhi
Maruti Baleno,2016,ZETA 1.2 K12 ,560499,60847,Petrol,Manual,1st Owner,New Delhi
Maruti Alto,2019,VXI ,383999,37748,Petrol,Manual,1st Owner,New Delhi
Mahindra Scorpio,2016,S10 ,1164599,43452,Diesel,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2018,VDI ,749399,49555,Diesel,Manual,2nd Owner,New Delhi
Maruti S PRESSO,2020,VXI ,455499,13653,Petrol,Manual,1st Owner,New Delhi
Hyundai Creta,2015,1.6 SX (O) CRDI ,859099,56027,Diesel,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2016,VDI ,680399,36693,Diesel,Manual,1st Owner,New Delhi
Hyundai Xcent,2014,BASE 1.2 ,303499,102849,Petrol,Manual,1st Owner,New Delhi
Ford Ecosport,2018,1.5 TDCI TITANIUM PLUS ,868819,39714,Diesel,Manual,1st Owner,New Delhi
Maruti Alto K10,2018,VXI ,379699,24624,Petrol,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2016,VDI OPT ,682949,31295,Diesel,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2016,VDI ,687299,38144,Diesel,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2017,ZDI PLUS ,748899,53384,Diesel,Manual,1st Owner,New Delhi
Maruti S PRESSO,2020,VXI ,455499,20421,Petrol,Manual,1st Owner,New Delhi
Maruti Swift,2013,VDI ,293399,122581,Diesel,Manual,1st Owner,New Delhi
Maruti Swift Dzire,2015,VDI BS IV ,491799,75869,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2013,VDI ,312499,82898,Diesel,Manual,1st Owner,New Delhi
Audi Q5,2014,30 TDI PREMIUM PLUS ,1860099,32976,Diesel,Automatic,1st Owner,New Delhi
Maruti Vitara Brezza,2017,ZDI ,721599,55327,Diesel,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2017,VDI OPT ,705399,28444,Diesel,Manual,2nd Owner,New Delhi
Maruti Vitara Brezza,2017,VDI ,720799,47655,Diesel,Manual,1st Owner,New Delhi
Maruti S Cross,2015,ALPHA 1.3 ,613599,46911,Diesel,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2016,VDI ,696999,42160,Diesel,Manual,1st Owner,New Delhi
Renault Duster,2016,85 PS RXL ,594999,67285,Diesel,Manual,1st Owner,New Delhi
Hyundai Elite i20,2014,SPORTZ (O) 1.4 ,447899,73060,Diesel,Manual,1st Owner,New Delhi
Maruti Swift Dzire,2014,ZDI ,439299,76915,Diesel,Manual,1st Owner,New Delhi
Maruti Baleno,2016,ALPHA DDIS 190 ,557299,67443,Diesel,Manual,1st Owner,New Delhi
Hyundai Grand i10,2015,SPORTZ 1.1 CRDI ,388299,73886,Diesel,Manual,1st Owner,New Delhi
Hyundai Elite i20,2015,SPORTZ 1.4 ,461099,93680,Diesel,Manual,2nd Owner,New Delhi
Ford Ecosport,2017,1.5 TDCI TITANIUM PLUS ,760399,46960,Diesel,Manual,1st Owner,New Delhi
Maruti Baleno,2016,DELTA DDIS 190 ,552399,69270,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2014,VDI ,369899,63661,Diesel,Manual,1st Owner,New Delhi
Maruti Ciaz,2015,ZDI SHVS ,551099,76733,Diesel,Manual,1st Owner,New Delhi
Hyundai i20,2014,SPORTZ 1.4 CRDI ,363999,72830,Diesel,Manual,1st Owner,New Delhi
Honda City,2014,SV MT DIESEL ,474099,86299,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2015,ZDI ,479999,53692,Diesel,Manual,2nd Owner,New Delhi
Maruti Vitara Brezza,2017,ZDI PLUS ,713455,75559,Diesel,Manual,2nd Owner,New Delhi
Maruti Vitara Brezza,2017,VDI OPT ,664499,67111,Diesel,Manual,2nd Owner,New Delhi
Maruti Vitara Brezza,2016,ZDI PLUS ,686599,57582,Diesel,Manual,1st Owner,New Delhi
Maruti Swift Dzire,2015,LDI BS IV ,377099,75826,Diesel,Manual,1st Owner,New Delhi
Ford Ecosport,2014,1.5TITANIUM TDCI ,431299,78344,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2015,VDI ABS ,445799,50020,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2015,LDI O ,359499,68858,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2015,VDI ABS ,432299,86812,Diesel,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2016,ZDI PLUS ,684099,72145,Diesel,Manual,1st Owner,New Delhi
Ford Ecosport,2015,1.5TITANIUM TDCI ,460399,85734,Diesel,Manual,2nd Owner,New Delhi
Maruti Baleno,2016,DELTA DDIS 190 ,531199,55639,Diesel,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2018,VDI ,771399,15957,Diesel,Manual,1st Owner,New Delhi
Ford Figo Aspire,2015,1.5 AMBIENTE DIESEL ,378899,95302,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2014,VDI ,342699,74253,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2015,VDI ABS ,384599,92528,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2015,VDI ABS ,440499,83576,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2014,VDI ,373699,45784,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2014,ZDI ,393499,92143,Diesel,Manual,1st Owner,New Delhi
Toyota Innova,2014,2.5 VX 8 STR BS IV ,965999,136746,Diesel,Manual,1st Owner,New Delhi
Toyota Innova,2014,2.5 VX 8 STR BS IV ,989999,70007,Diesel,Manual,1st Owner,New Delhi
Hyundai Elite i20,2019,1.2 MAGNA PLUS VTVT ,617899,22638,Petrol,Manual,2nd Owner,New Delhi
Maruti Wagon R 1.0,2015,VXI AMT ,401599,35137,Petrol,Automatic,1st Owner,New Delhi
Mahindra XUV 3OO,2020,1.2 W6 MT,860699,21573,Petrol,,1st Owner,New Delhi
Renault Kwid,2018,RXL ,318799,20830,Petrol,Manual,2nd Owner,New Delhi
Hyundai Eon,2015,MAGNA PLUS ,256399,124854,Petrol,Manual,1st Owner,New Delhi
Renault Kwid,2017,RXT 1.0 EASY-R AT OPTION ,389999,14580,Petrol,Automatic,1st Owner,New Delhi
Maruti Celerio,2017,VXI ,377599,54948,Petrol,Manual,2nd Owner,New Delhi
Maruti Swift,2014,VXI ,379399,108001,Petrol,Manual,1st Owner,New Delhi
Honda Brio,2014,1.2 VX AT I VTEC ,441099,18551,Petrol,Automatic,1st Owner,New Delhi
MG HECTOR,2020,SHARP DCT PETROL ,1683899,8868,Petrol,Automatic,1st Owner,New Delhi
Maruti Swift,2013,LXI ,354699,49055,Petrol,Manual,1st Owner,New Delhi
Maruti Swift,2014,VXI ,403799,29335,Petrol,Manual,2nd Owner,New Delhi
Ford Ecosport,2015,1.5 TITANIUM TI VCT AT ,602399,58717,Petrol,Automatic,1st Owner,New Delhi
Mahindra XUV500,2017,W8 FWD ,982599,83356,Diesel,Manual,2nd Owner,New Delhi
Maruti Dzire,2017,VXI ,641899,23319,Petrol,Manual,1st Owner,New Delhi
Maruti Baleno,2016,DELTA 1.2 K12 ,493299,57510,Petrol,Manual,1st Owner,New Delhi
Renault Kwid,2018,RXT ,347099,39207,Petrol,Manual,1st Owner,New Delhi
Hyundai NEW SANTRO,2020,SPORTZ 1.1 ,490699,17034,Petrol,Manual,1st Owner,New Delhi
Hyundai Verna,2013,FLUIDIC 1.6 CRDI SX OPT ,435199,60651,Diesel,Manual,1st Owner,New Delhi
Maruti Alto K10,2018,VXI ,338999,43335,Petrol,Manual,1st Owner,New Delhi
Mahindra XUV500,2014,W6 4X2 ,497299,167105,Diesel,Manual,1st Owner,New Delhi
Maruti Ciaz,2017,VDI+ SHVS ,630799,72728,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2014,VXI ,410699,75514,Petrol,Manual,1st Owner,New Delhi
Maruti Swift Dzire,2016,VDI ABS ,501899,79688,Diesel,Manual,2nd Owner,New Delhi
Honda City,2014,E MT DIESEL ,396099,137612,Diesel,Manual,2nd Owner,New Delhi
Maruti Ertiga,2013,VDI ABS ,465899,161023,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2013,VDI ,340099,30338,Diesel,Manual,1st Owner,New Delhi
Maruti Swift Dzire,2014,ZDI ,470199,25744,Diesel,Manual,1st Owner,New Delhi
Hyundai Elite i20,2015,ASTA 1.4 CRDI ,459599,72470,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2014,VDI ,343199,59025,Diesel,Manual,1st Owner,New Delhi
Renault Kiger,2021,RXZ 1.0 Easy R Petrol,856699,2747,Petrol,,1st Owner,New Delhi
Jeep Compass,2019,1.4 LONGITUDE (O) AT ,2012799,23128,Petrol,Automatic,1st Owner,New Delhi
Hyundai NEW I20,2020,MAGNA 1.2 MT,673099,24795,Petrol,,1st Owner,New Delhi
Maruti Swift Dzire,2013,VXI 1.2 BS IV ,383799,59030,Petrol,Manual,1st Owner,New Delhi
Hyundai i10,2014,MAGNA 1.1 IRDE2 ,344599,41044,Petrol,Manual,2nd Owner,New Delhi
Toyota Innova,2014,2.5 VX 8 STR BS IV ,964299,82295,Diesel,Manual,1st Owner,New Delhi
Maruti Wagon R 1.0,2010,LXI ,244099,48915,Petrol,Manual,2nd Owner,New Delhi
Honda City,2010,S MT PETROL ,414399,34566,Petrol,Manual,1st Owner,New Delhi
Hyundai Grand i10,2017,SPORTZ (O) 1.2 AT VTVT ,605799,12855,Petrol,Automatic,1st Owner,New Delhi
Maruti Vitara Brezza,2021,VXI ,910199,5287,Petrol,Manual,1st Owner,New Delhi
Tata Tiago,2016,XT 1.2 REVOTRON ,391399,28153,Petrol,Manual,1st Owner,New Delhi
Hyundai Creta,2017,1.4 E PLUS CRDI ,813199,78203,Diesel,Manual,1st Owner,New Delhi
Hyundai Grand i10,2016,MAGNA 1.2 VTVT ,423299,44857,Petrol,Manual,2nd Owner,New Delhi
Ford Ecosport,2014,1.5 TITANIUMTDCI OPT ,408299,156356,Diesel,Manual,1st Owner,New Delhi
Datsun Redi Go,2022,T (O) ,473999,2848,Petrol,Manual,1st Owner,New Delhi
Jeep Compass,2017,2.0 LIMITED ,1185099,76959,Diesel,Manual,1st Owner,New Delhi
Maruti Swift,2017,LXI OPT ,429299,61775,Petrol,Manual,1st Owner,New Delhi
