Brand Name,Year,Car_variant,Selling Price,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Location
Maruti Ciaz,2016,ZDI SHVS ,723699,74509,Diesel,Manual,1st Owner,Mumbai
Ford Ecosport,2015,1.5 TREND TDCI ,522099,66434,Diesel,Manual,2nd Owner,Mumbai
MG HECTOR,2019,SHARP DCT PETROL ,1817799,14267,Petrol,Automatic,1st Owner,Mumbai
Jeep Compass,2017,2.0 SPORT ,1172899,52627,Diesel,Manual,1st Owner,Mumbai
Maruti Alto 800,2018,LXI ,324399,10596,Petrol,Manual,1st Owner,Mumbai
Hyundai VENUE,2019,1.0L Turbo GDI SX MT ,922861,20903,Petrol,Manual,1st Owner,Mumbai
Maruti Dzire,2017,VDI ,654299,161435,Diesel,Manual,1st Owner,Mumbai
Maruti Vitara Brezza,2020,ZXI + ,1052299,2735,Petrol,Manual,1st Owner,Mumbai
Maruti Baleno,2019,ALPHA 1.2 K12 ,696399,22695,Petrol,Manual,1st Owner,Mumbai
Maruti Swift Dzire,2014,VDI BS IV ,491899,108347,Diesel,Manual,1st Owner,Mumbai
Maruti Wagon R 1.0,2017,VXI AMT ,411699,33812,Petrol,Automatic,2nd Owner,Mumbai
MG HECTOR,2019,SHARP DCT PETROL ,1761699,50456,Petrol,Automatic,1st Owner,Mumbai
Maruti Baleno,2019,ZETA 1.2 K12 ,694699,23801,Petrol,Manual,2nd Owner,Mumbai
Hyundai NEW SANTRO,2018,1.1 SPORTZ MT CNG,505499,57538,Petrol + CNG,,1st Owner,Mumbai
Maruti S Cross,2017,ZETA 1.3 ,838199,31488,Diesel,Manual,1st Owner,Mumbai
Hyundai Creta,2016,1.6 SX PLUS DIESEL ,940999,79111,Diesel,Manual,1st Owner,Mumbai
Hyundai i20 Active,2016,1.2 S ,536099,69748,Petrol,Manual,1st Owner,Mumbai
Hyundai GRAND I10 NIOS,2021,SPORTZ CNG MT ,831299,9968,Petrol + CNG,Manual,1st Owner,Mumbai
Honda Jazz,2019,1.2 VX AT ,809420,6006,Petrol,Automatic,1st Owner,Mumbai
Honda City,2017,VX MT PETROL ,892949,36187,Petrol,Manual,1st Owner,Mumbai
Hyundai Creta,2017,1.6 CRDI SX PLUS AUTO ,1207199,86684,Diesel,Automatic,1st Owner,Mumbai
Maruti Baleno,2019,Zeta 1.2 K12 SHVS,759799,7561,Petrol,,1st Owner,Mumbai
Hyundai Verna,2019,1.6 SX VTVT AT (O) ,1073499,25130,Petrol,Automatic,1st Owner,Mumbai
Maruti Baleno,2019,ZETA 1.2 K12 ,724099,21407,Petrol,Manual,1st Owner,Mumbai
Honda City,2020,VX CVT PETROL ,1338299,9353,Petrol,Automatic,1st Owner,Mumbai
Jeep Compass,2018,LIMITED 1.4 AT ,1569199,36569,Petrol,Automatic,1st Owner,Mumbai
Maruti Vitara Brezza,2017,VDI ,761599,43004,Diesel,Manual,1st Owner,Mumbai
Honda City,2017,ZX CVT ,907349,55625,Petrol,Automatic,2nd Owner,Mumbai
KIA SELTOS,2020,1.4 GTX+ TURBO GDI PETROL AT ,1777199,35041,Petrol,Automatic,1st Owner,Mumbai
Ford Ecosport,2018,TREND + 1.5 TI VCT AT ,787219,48102,Petrol,Automatic,1st Owner,Mumbai
Hyundai Verna,2018,1.6 SX VTVT AT (O) ,983999,16957,Petrol,Automatic,2nd Owner,Mumbai
Hyundai Verna,2018,1.6 SX VTVT AT (O) ,1073399,24359,Petrol,Automatic,2nd Owner,Mumbai
Honda WR-V,2018,1.5 i-DTEC VX MT ,752999,50303,Diesel,Manual,2nd Owner,Mumbai
Volkswagen Ameo,2018,HIGHLINE PLUS 1.5 ,640299,82907,Diesel,Manual,1st Owner,Mumbai
Hyundai Verna,2018,1.6 SX VTVT AT (O) ,1077499,40429,Petrol,Automatic,1st Owner,Mumbai
Hyundai Verna,2018,1.6 SX VTVT AT (O) ,1075999,29261,Petrol,Automatic,1st Owner,Mumbai
Toyota Fortuner,2013,3.0 AT 4X2 ,1348299,81829,Diesel,Automatic,3rd Owner,Mumbai
Maruti Alto 800,2015,LXI ,287199,11184,Petrol,Manual,1st Owner,Mumbai
Maruti Ertiga,2019,ZXI SMART HYBRID AT ,1104999,27724,Petrol,Automatic,1st Owner,Mumbai
Maruti Celerio,2015,LXI ,359999,22939,Petrol,Manual,1st Owner,Mumbai
Hyundai i20,2011,SPORTZ 1.2 O ,309299,56248,Petrol,Manual,2nd Owner,Mumbai
Volkswagen Vento,2016,HIGHLINE PETROL ,610499,20393,Petrol,Manual,1st Owner,Mumbai
Tata Tiago,2019,XE 1.2 REVOTRON ,436299,10207,Petrol,Manual,1st Owner,Mumbai
Hyundai Elite i20,2014,ASTA 1.2 ,469799,99247,Petrol,Manual,1st Owner,Mumbai
Toyota Innova,2015,2.5 GX 8 STR BS IV ,921999,128958,Diesel,Manual,1st Owner,Mumbai
Hyundai Creta,2020,SX (O) DIESEL AT ,1780399,38423,Diesel,Automatic,1st Owner,Mumbai
Maruti Swift Dzire,2013,VDI ,443099,161934,Diesel,Manual,1st Owner,Mumbai
Hyundai i10,2014,MAGNA 1.1 IRDE2 ,339199,32627,Petrol,Manual,1st Owner,Mumbai
Hyundai Grand i10,2016,SPORTS 1.2 VTVT ,393899,23846,Petrol,Manual,3rd Owner,Mumbai
Maruti Ertiga,2019,ZXI SMART HYBRID AT ,1043599,45813,Petrol,Automatic,1st Owner,Mumbai
Renault TRIBER,2020,RXL AT ,661199,19677,Petrol,Automatic,1st Owner,Mumbai
Toyota Innova Crysta,2016,2.8 ZX AT 7 STR ,1789099,53914,Diesel,Automatic,1st Owner,Mumbai
Maruti Alto 800,2015,LXI ,274299,30934,Petrol,Manual,2nd Owner,Mumbai
KIA SELTOS,2019,GTX+ 1.4 MT ,1564699,5914,Petrol,Manual,1st Owner,Mumbai
Maruti Swift,2014,VXI ,388599,56830,Petrol,Manual,2nd Owner,Mumbai
Tata Tiago,2021,XZ 1.2 REVOTRON ,633399,2897,Petrol,Manual,1st Owner,Mumbai
Renault Kwid,2016,RXT Opt ,325299,34423,Petrol,Manual,2nd Owner,Mumbai
Honda CRV,2016,2.0 2WD AT ,1237099,42730,Petrol,Automatic,1st Owner,Mumbai
Maruti Celerio,2014,VXI AMT ,389599,30312,Petrol,Automatic,1st Owner,Mumbai
Renault Kwid,2020,RXL ,418799,11444,Petrol,Manual,1st Owner,Mumbai
Hyundai Sonata,2014,2.4 GDI AT ,695699,84362,Petrol,Automatic,2nd Owner,Mumbai
Hyundai Creta,2020,S PETROL MT ,1286799,11301,Petrol,Manual,1st Owner,Mumbai
Mahindra Scorpio,2017,S10 Intelli Hybrid 2WD ,1246499,52077,Diesel,Manual,2nd Owner,Mumbai
Hyundai Grand i10,2014,SPORTZ 1.2 KAPPA VTVT ,413899,26735,Petrol,Manual,1st Owner,Mumbai
Hyundai Grand i10,2016,SPORTZ 1.2 KAPPA VTVT ,436199,40124,Petrol,Manual,1st Owner,Mumbai
Hyundai Grand i10,2018,MAGNA 1.2 KAPPA VTVT ,507299,22796,Petrol,Manual,1st Owner,Mumbai
Maruti Wagon R 1.0,2017,VXI ,393999,11435,Petrol,Manual,3rd Owner,Mumbai
Hyundai Grand i10,2013,SPORTZ 1.2 KAPPA VTVT ,383899,29411,Petrol,Manual,1st Owner,Mumbai
Ford Ecosport,2017,1.5 TITANIUM TI VCT AT ,844999,471,Petrol,Automatic,1st Owner,Mumbai
Maruti Celerio,2018,ZXI OPT ,496599,6305,Petrol,Manual,1st Owner,Mumbai
Renault Kwid,2019,RXT 1.0 EASY-R AT OPTION ,460099,7765,Petrol,Automatic,1st Owner,Mumbai
Volkswagen Vento,2014,HIGHLINE PETROL ,428599,68983,Petrol,Manual,3rd Owner,Mumbai
Hyundai Elite i20,2017,SPORTZ 1.2 ,535199,22549,Petrol,Manual,2nd Owner,Mumbai
KIA SELTOS,2019,GTX+ 1.4 MT ,1567899,14370,Petrol,Manual,1st Owner,Mumbai
Hyundai Grand i10,2014,SPORTZ 1.2 KAPPA VTVT ,431899,26983,Petrol,Manual,1st Owner,Mumbai
Ford Ecosport,2018,1.5 AMBIENTE TDCI ,766399,28127,Diesel,Manual,1st Owner,Mumbai
Toyota Corolla Altis,2016,G AT ,975599,59790,Petrol,Automatic,1st Owner,Mumbai
Renault TRIBER,2021,1.0 RXT ,721799,4772,Petrol,Manual,1st Owner,Mumbai
Toyota Corolla Altis,2014,G ,673799,55578,Petrol,Manual,1st Owner,Mumbai
Maruti Celerio,2018,VXI (O) ,477099,18389,Petrol,Manual,1st Owner,Mumbai
Tata Hexa,2018,Varicor 400 XT ,1127499,90026,Diesel,Manual,1st Owner,Mumbai
Maruti Celerio,2017,ZXI ,450699,36763,Petrol,Manual,1st Owner,Mumbai
Volkswagen Polo,2017,GT TSI 1.2 PETROL AT ,653099,40279,Petrol,Automatic,2nd Owner,Mumbai
Honda Jazz,2016,1.2 S MT ,501799,53879,Petrol,Manual,1st Owner,Mumbai
MG HECTOR,2019,SHARP DCT PETROL ,1578199,7231,Petrol,Automatic,2nd Owner,Mumbai
Hyundai Elite i20,2015,SPORTZ 1.2 ,483499,63961,Petrol,Manual,1st Owner,Mumbai
Honda Amaze,2019,VX AT I DTEC ,770099,24978,Diesel,Automatic,2nd Owner,Mumbai
Honda City,2018,SV MT PETROL ,763299,15132,Petrol,Manual,2nd Owner,Mumbai
Tata Tiago,2018,XZA 1.2 REVOTRON ,534199,48987,Petrol,Automatic,1st Owner,Mumbai
Maruti Baleno,2016,DELTA 1.2 K12 ,536420,25082,Petrol,Manual,1st Owner,Mumbai
Hyundai VENUE,2020,SX 1.0 GDI IMT ,955399,18221,Petrol,Manual,1st Owner,Mumbai
Tata Harrier,2019,XZ 2.0L Kryotec ,1422099,55447,Diesel,Manual,2nd Owner,Mumbai
Maruti Ciaz,2020,DELTA 1.5 SHVS VVT MT ,884499,14444,Petrol,Manual,1st Owner,Mumbai
Maruti Wagon R 1.0,2016,VXI ,429999,20771,Petrol,Manual,1st Owner,Mumbai
Hyundai Elite i20,2019,1.2 SPORTS PLUS VTVT ,740899,5724,Petrol,Manual,1st Owner,Mumbai
MG HECTOR,2019,SMART DIESEL ,1674099,12937,Diesel,Manual,1st Owner,Mumbai
Hyundai Elite i20,2016,ASTA 1.2 (O) ,514899,76366,Petrol,Manual,1st Owner,Mumbai
Maruti Vitara Brezza,2019,VDI ,838699,30236,Diesel,Manual,1st Owner,Mumbai
Maruti Dzire,2017,VDI AMT ,658399,67154,Diesel,Automatic,1st Owner,Mumbai
Maruti Wagon R 1.0,2017,VXI AMT ,422799,17250,Petrol,Automatic,2nd Owner,Mumbai
Maruti Dzire,2018,ZXI ,690099,38393,Petrol,Manual,1st Owner,Mumbai
Hyundai Creta,2015,1.6 SX PLUS PETROL ,820899,60227,Petrol,Manual,1st Owner,Mumbai
Ford Ecosport,2017,1.5AMBIENTE TI VCT ,617899,21407,Petrol,Manual,1st Owner,Mumbai
Maruti S PRESSO,2020,VXI CNG ,562599,29918,Petrol + CNG,Manual,1st Owner,Mumbai
Maruti Baleno,2016,DELTA 1.2 K12 ,561999,9363,Petrol,Manual,1st Owner,Mumbai
Maruti Wagon R 1.0,2014,VXI ,377799,19843,Petrol,Manual,1st Owner,Mumbai
Toyota Corolla Altis,2014,J S ,654399,22434,Petrol,Manual,2nd Owner,Mumbai
Maruti Baleno,2018,DELTA 1.2 K12 ,591799,26382,Petrol,Manual,1st Owner,Mumbai
Hyundai Elite i20,2019,ASTA 1.2 (O) ,753499,34853,Petrol,Manual,1st Owner,Mumbai
Hyundai NEW SANTRO,2020,1.1 SPORTS AMT ,628699,12875,Petrol,Automatic,1st Owner,Mumbai
Maruti Vitara Brezza,2019,ZDI ,905280,27166,Diesel,Manual,2nd Owner,Mumbai
Hyundai VENUE,2019,1.0L Turbo GDI SX MT ,914899,22716,Petrol,Manual,2nd Owner,Mumbai
Hyundai Elite i20,2019,ASTA 1.2 (O) ,753699,422,Petrol,Manual,1st Owner,Mumbai
Ford Ecosport,2014,1.5 TITANIUMTDCI OPT ,607799,67225,Diesel,Manual,1st Owner,Mumbai
Maruti Swift,2015,VDI ,471299,142995,Diesel,Manual,1st Owner,Mumbai
Ford Ecosport,2018,1.5 AMBIENTE TDCI ,691899,20082,Diesel,Manual,1st Owner,Mumbai
Jeep Compass,2017,2.0 LONGITUDE (O) ,1366099,24588,Diesel,Manual,1st Owner,Mumbai
Maruti Alto K10,2019,VXI ,390299,9370,Petrol,Manual,1st Owner,Mumbai
Maruti Baleno,2017,DELTA 1.2 K12 ,570399,28197,Petrol,Manual,1st Owner,Mumbai
Maruti Wagon R 1.0,2015,VXI ,357999,54872,Petrol,Manual,1st Owner,Mumbai
Maruti Dzire,2018,VDI ,741999,33197,Diesel,Manual,1st Owner,Mumbai
Maruti Ciaz,2017,SIGMA 1.4 VVT ,725299,35582,Petrol,Manual,1st Owner,Mumbai
Hyundai Elite i20,2016,SPORTZ 1.2 ,562499,67248,Petrol,Manual,1st Owner,Mumbai
Maruti Dzire,2018,VXI ,636499,71772,Petrol,Manual,1st Owner,Mumbai
Hyundai VENUE,2019,1.4 CRDI S MT ,922399,73561,Diesel,Manual,1st Owner,Mumbai
Hyundai Elite i20,2019,1.2 ASTA (O) CVT ,885199,16358,Petrol,Automatic,1st Owner,Mumbai
MG HECTOR,2019,SHARP DCT PETROL ,1817799,18570,Petrol,Automatic,1st Owner,Mumbai
Maruti Dzire,2020,VXI AMT ,749299,17083,Petrol,Automatic,1st Owner,Mumbai
Maruti Ciaz,2015,ZDI+ ,584199,103455,Diesel,Manual,1st Owner,Mumbai
Honda Jazz,2018,1.2 V MT ,691199,26796,Petrol,Manual,1st Owner,Mumbai
Volkswagen Ameo,2016,COMFORTLINE 1.2 ,436599,38046,Petrol,Manual,2nd Owner,Mumbai
Maruti Baleno,2016,DELTA 1.2 K12 ,533099,40361,Petrol,Manual,1st Owner,Mumbai
Hyundai Grand i10,2016,SPORTZ 1.2 KAPPA VTVT ,501999,23560,Petrol,Manual,1st Owner,Mumbai
Hyundai Elite i20,2015,ASTA 1.4 CRDI ,575619,79569,Diesel,Manual,2nd Owner,Mumbai
Maruti Dzire,2020,VXI ,753099,8384,Petrol,Manual,1st Owner,Mumbai
Hyundai Verna,2018,1.6 SX (O) CRDI MT ,1162599,24541,Diesel,Manual,1st Owner,Mumbai
Maruti Vitara Brezza,2019,ZDI ,862699,57702,Diesel,Manual,1st Owner,Mumbai
Hyundai Elite i20,2017,ASTA 1.2 (O) ,677553,19673,Petrol,Manual,1st Owner,Mumbai
Maruti Dzire,2018,VXI ,665099,41034,Petrol,Manual,1st Owner,Mumbai
Maruti Baleno,2016,ZETA 1.2 K12 ,528899,83600,Petrol,Manual,1st Owner,Mumbai
Maruti Ciaz,2018,ZETA 1.4 VVT ,735099,44452,Petrol,Manual,1st Owner,Mumbai
Maruti Baleno,2017,RS 1.0 PETROL ,603799,29794,Petrol,Manual,1st Owner,Mumbai
Maruti Wagon R 1.0,2014,VXI ,354199,64674,Petrol,Manual,1st Owner,Mumbai
Honda WR-V,2017,1.2 i-VTEC VX MT ,730599,46201,Petrol,Manual,1st Owner,Mumbai
Honda CRV,2014,2.4 AT 4WD AVN ,1060699,103411,Petrol,Automatic,1st Owner,Mumbai
Maruti Ciaz,2018,ZETA 1.4 VVT ,722899,51725,Petrol,Manual,1st Owner,Mumbai
Maruti S PRESSO,2020,VXI PLUS AGS ,526999,2799,Petrol,Automatic,1st Owner,Mumbai
Toyota Etios,2017,V ,557899,73896,Petrol,Manual,1st Owner,Mumbai
Maruti Dzire,2018,VDI ,741999,47158,Diesel,Manual,1st Owner,Mumbai
Honda WR-V,2018,1.2 i-VTEC VX MT ,743299,14930,Petrol,Manual,2nd Owner,Mumbai
Ford Figo Aspire,2017,1.5 TITANIUM DIESEL ,465699,141022,Diesel,Manual,1st Owner,Mumbai
Maruti Baleno,2016,ALPHA 1.2 K12 ,561499,76773,Petrol,Manual,1st Owner,Mumbai
Hyundai Verna,2017,1.6 SX (O) CRDI MT ,1120099,53640,Diesel,Manual,1st Owner,Mumbai
Honda Jazz,2020,ZX CVT ,1061999,11909,Petrol,Automatic,1st Owner,Mumbai
Skoda Rapid,2021,1.0 AMBITION TSI AT ,1209399,4245,Petrol,Automatic,1st Owner,Mumbai
Maruti Baleno,2016,ZETA 1.2 K12 ,586699,47421,Petrol,Manual,1st Owner,Mumbai
Honda City,2018,V MT PETROL ,881349,16201,Petrol,Manual,1st Owner,Mumbai
Maruti Vitara Brezza,2017,ZDI ,755699,78266,Diesel,Manual,1st Owner,Mumbai
Maruti Alto,2019,VXI ,381199,8509,Petrol,Manual,1st Owner,Mumbai
Hyundai VENUE,2019,1.0 SX TURBO GDI DUAL TONE ,944599,26191,Petrol,Manual,2nd Owner,Mumbai
Skoda Octavia,2018,LK 1.8 TSI AT ,1700899,26809,Petrol,Automatic,1st Owner,Mumbai
Honda City,2018,ZX CVT ,1051799,33613,Petrol,Automatic,1st Owner,Mumbai
Maruti Wagon R 1.0,2017,VXI+ OPT. AMT ,432799,47072,Petrol,Automatic,1st Owner,Mumbai
Ford Figo Aspire,2018,1.5 TREND DIESEL ,569999,48494,Diesel,Manual,1st Owner,Mumbai
Maruti Baleno,2019,ALPHA 1.2 K12 ,762999,10356,Petrol,Manual,1st Owner,Mumbai
Maruti S PRESSO,2019,VXI PLUS ,420899,61555,Petrol,Manual,1st Owner,Mumbai
Honda City,2018,ZX CVT ,1125799,10411,Petrol,Automatic,1st Owner,Mumbai
Hyundai Creta,2018,1.6 SX AT CRDI ,1330299,42659,Diesel,Automatic,2nd Owner,Mumbai
Maruti Baleno,2018,ALPHA 1.2 K12 ,641699,40567,Petrol,Manual,1st Owner,Mumbai
Maruti IGNIS,2017,DELTA 1.2 K12 ,485199,21057,Petrol,Manual,1st Owner,Mumbai
Maruti Baleno,2019,ALPHA 1.2 K12 ,772499,8782,Petrol,Manual,1st Owner,Mumbai
Maruti Alto,2021,VXI PLUS ,418999,3401,Petrol,Manual,1st Owner,Mumbai
Maruti Dzire,2018,ZDI Plus ,730299,51649,Diesel,Manual,1st Owner,Mumbai
Nissan Terrano,2016,XL PLUS 85 PS DEISEL ,600299,134109,Diesel,Manual,1st Owner,Mumbai
Tata NEXON,2018,XZ+ 1.2 DUAL TONE ,832199,38171,Petrol,Manual,1st Owner,Mumbai
Jeep Compass,2018,LIMITED O 1.4 AT ,1424699,25897,Petrol,Automatic,2nd Owner,Mumbai
Hyundai Creta,2018,1.6 SX PLUS AUTO PETROL ,1180799,16173,Petrol,Automatic,2nd Owner,Mumbai
Maruti S Cross,2017,SIGMA 1.3 ,703099,86627,Diesel,Manual,1st Owner,Mumbai
Maruti IGNIS,2017,DELTA 1.2 K12 ,453099,40312,Petrol,Manual,1st Owner,Mumbai
KIA SELTOS,2020,GTX 1.4 GDI AT PETROL ,1682799,13868,Petrol,Automatic,1st Owner,Mumbai
Maruti S Cross,2019,ZETA SHVS ,1058899,24639,Diesel,Manual,1st Owner,Mumbai
Hyundai Verna,2018,1.6 SX VTVT AT (O) ,1112599,47186,Petrol,Automatic,1st Owner,Mumbai
Maruti S Cross,2017,DELTA 1.3 ,620499,103875,Diesel,Manual,1st Owner,Mumbai
Ford Ecosport,2018,1.5 TDCI TITANIUM PLUS ,807699,50971,Diesel,Manual,1st Owner,Mumbai
Ford Ecosport,2017,1.5 TITANIUM TI VCT AT ,766499,30212,Petrol,Automatic,1st Owner,Mumbai
Hyundai Verna,2018,1.6 SX VTVT AT (O) ,1039599,23043,Petrol,Automatic,1st Owner,Mumbai
Honda Civic,2020,ZX CVT PETROL ,1975899,46997,Petrol,Automatic,1st Owner,Mumbai
KIA SELTOS,2020,1.4 GTX+ TURBO GDI PETROL AT ,1892957,12331,Petrol,Automatic,1st Owner,Mumbai
Maruti Vitara Brezza,2017,ZDI PLUS ,788499,114807,Diesel,Manual,1st Owner,Mumbai
Honda WR-V,2018,1.2 i-VTEC VX MT ,786599,42503,Petrol,Manual,1st Owner,Mumbai
Maruti Ertiga,2019,ZXI SMART HYBRID AT ,1005099,18762,Petrol,Automatic,2nd Owner,Mumbai
Maruti Swift Dzire,2012,VDI BS IV ,441299,50487,Diesel,Manual,1st Owner,Mumbai
Maruti Swift Dzire,2014,VXI 1.2 BS IV ,445899,40877,Petrol,Manual,1st Owner,Mumbai
Maruti Swift Dzire,2012,VDI BS IV ,401499,162410,Diesel,Manual,1st Owner,Mumbai
Maruti Alto 800,2013,LXI ,253199,45886,Petrol,Manual,1st Owner,Mumbai
Hyundai i20,2011,SPORTZ 1.2 O ,306499,94323,Petrol,Manual,2nd Owner,Mumbai
Maruti Wagon R 1.0,2015,LXI ,346099,44433,Petrol,Manual,1st Owner,Mumbai
Maruti Baleno,2016,ALPHA DDIS 190 ,612366,45380,Diesel,Manual,1st Owner,Mumbai
Volkswagen Ameo,2019,COMFORTLINE 1.0 ,556899,7127,Petrol,Manual,1st Owner,Mumbai
Volkswagen Ameo,2016,HIGHLINE 1.2 ,501799,30635,Petrol,Manual,1st Owner,Mumbai
Tata Tiago,2020,XZA+ 1.2 RTN ,603499,87351,Petrol,Automatic,1st Owner,Mumbai
Renault TRIBER,2020,RXZ AT ,689999,17396,Petrol,Automatic,2nd Owner,Mumbai
Volkswagen Polo,2016,TRENDLINE 1.2L PETROL ,479099,62629,Petrol,Manual,1st Owner,Mumbai
Maruti Ritz,2015,LXI ,319299,51486,Petrol,Manual,2nd Owner,Mumbai
Hyundai Sonata,2013,2.4 GDI AT ,590499,61811,Petrol,Automatic,3rd Owner,Mumbai
Toyota Corolla Altis,2016,G ,806099,77968,Petrol,Manual,1st Owner,Mumbai
Tata Tiago,2018,XZ 1.2 REVOTRON ,484499,12199,Petrol,Manual,2nd Owner,Mumbai
Maruti Swift,2017,VXI ,524549,34520,Petrol,Manual,1st Owner,Mumbai
Honda Brio,2016,1.2 S MT I VTEC ,362099,59581,Petrol,Manual,1st Owner,Mumbai
Maruti Swift,2017,VXI ,528099,27890,Petrol,Manual,1st Owner,Mumbai
Volkswagen Vento,2021,Highline 1.0 TSI MT ,1111999,8548,Petrol,Manual,1st Owner,Mumbai
Volkswagen Polo,2014,GT TSI 1.2 PETROL AT ,539899,66775,Petrol,Automatic,1st Owner,Mumbai
Maruti Alto 800,2017,LXI ,291099,20824,Petrol,Manual,1st Owner,Mumbai
Maruti Ritz,2015,ZXI ,437299,25440,Petrol,Manual,1st Owner,Mumbai
Tata Harrier,2019,XM 2.0L Kryotec ,1363999,45268,Diesel,Manual,1st Owner,Mumbai
Maruti Alto K10,2015,VXI ,295699,43901,Petrol,Manual,1st Owner,Mumbai
Maruti Wagon R 1.0,2015,LXI ,357199,5738,Petrol,Manual,2nd Owner,Mumbai
Mahindra XUV 3OO,2021,1.2 W6 MT,1089049,9583,Petrol,,1st Owner,Mumbai
Renault TRIBER,2019,1.0 RXZ ,694099,13577,Petrol,Manual,1st Owner,Mumbai
Honda City,2020,V MT PETROL ,997199,14609,Petrol,Manual,1st Owner,Mumbai
Maruti Vitara Brezza,2020,ZXI + ,900799,19798,Petrol,Manual,1st Owner,Mumbai
Honda Amaze,2013,1.2 SMT I VTEC ,408099,32058,Petrol,Manual,1st Owner,Mumbai
Honda Brio,2014,1.2 S MT I VTEC ,374899,37492,Petrol,Manual,1st Owner,Mumbai
Renault TRIBER,2019,1.0 RXZ ,669949,16767,Petrol,Manual,1st Owner,Mumbai
Maruti Baleno,2016,ZETA 1.2 K12 CVT ,660799,69468,Petrol,Automatic,1st Owner,Mumbai
Hyundai Elite i20,2015,SPORTZ 1.2 ,457199,89724,Petrol,Manual,1st Owner,Mumbai
MG HECTOR,2019,SHARP DCT PETROL ,1666699,3455,Petrol,Automatic,1st Owner,Mumbai
Maruti S PRESSO,2021,VXI PLUS ,521899,698,Petrol,Manual,1st Owner,Mumbai
Ford Ecosport,2019,1.5 TITANIUM TI VCT ,783599,30786,Petrol,Manual,1st Owner,Mumbai
Hyundai Elite i20,2015,SPORTZ 1.2 ,541999,24819,Petrol,Manual,1st Owner,Mumbai
Hyundai Grand i10,2013,SPORTZ 1.2 KAPPA VTVT ,393299,34270,Petrol,Manual,1st Owner,Mumbai
Hyundai Grand i10,2017,SPORTZ 1.2 KAPPA VTVT ,495149,7430,Petrol,Manual,1st Owner,Mumbai
Maruti Wagon R 1.0,2014,VXI ,356199,32401,Petrol,Manual,1st Owner,Mumbai
Honda City,2015,VX MT PETROL ,660799,54831,Petrol,Manual,1st Owner,Mumbai
Ford Ecosport,2014,1.5 TREND TI VCT ,479799,25976,Petrol,Manual,1st Owner,Mumbai
Mahindra XUV500,2019,W11 (O) ,1692199,47670,Diesel,Manual,1st Owner,Mumbai
Honda Jazz,2021,VX 1.2 CVT ,998999,4550,Petrol,Automatic,1st Owner,Mumbai
Nissan Micra Active,2016,XV ,338199,22322,Petrol,Manual,1st Owner,Mumbai
Hyundai Grand i10,2015,SPORTZ 1.2 KAPPA VTVT ,431399,26429,Petrol,Manual,1st Owner,Mumbai
Maruti S PRESSO,2020,VXI PLUS AGS ,535799,8248,Petrol,Automatic,1st Owner,Mumbai
Hyundai Grand i10,2018,magna 1.2 crdi ,615499,8472,Diesel,Manual,1st Owner,Mumbai
Hyundai Elite i20,2016,SPORTZ 1.2 ,590399,32735,Petrol,Manual,1st Owner,Mumbai
Hyundai NEW SANTRO,2021,1.1 MAGNA MT ,558299,2371,Petrol,Manual,1st Owner,Mumbai
Hyundai i10,2013,SPORTZ 1.2 AT KAPPA2 ,360549,47815,Petrol,Automatic,1st Owner,Mumbai
Hyundai Elite i20,2018,Magna Executive 1.2 ,586699,29445,Petrol,Manual,1st Owner,Mumbai
Maruti Celerio,2017,ZXI ,452599,24459,Petrol,Manual,1st Owner,Mumbai
Hyundai Grand i10,2018,SPORTZ 1.2 KAPPA VTVT ,550499,17350,Petrol,Manual,1st Owner,Mumbai
Honda Amaze,2019,1.2 SMT I VTEC ,638999,28915,Petrol,Manual,1st Owner,Mumbai
Hyundai Elite i20,2015,ASTA 1.2 ,562399,23283,Petrol,Manual,1st Owner,Mumbai
Hyundai Elite i20,2016,MAGNA 1.2 ,548699,21655,Petrol,Manual,1st Owner,Mumbai
Maruti Ciaz,2015,ZXI ,541349,67695,Petrol,Manual,2nd Owner,Mumbai
Honda Amaze,2019,1.2 SMT I VTEC ,657199,13789,Petrol,Manual,1st Owner,Mumbai
Ford Figo Aspire,2018,1.5 TREND DIESEL ,581099,31896,Diesel,Manual,2nd Owner,Mumbai
Maruti Dzire,2017,VXI ,654899,28971,Petrol,Manual,1st Owner,Mumbai
Maruti Alto K10,2019,VXI ,387199,15223,Petrol,Manual,1st Owner,Mumbai
Maruti Dzire,2019,VXI AMT ,666099,12949,Petrol,Automatic,2nd Owner,Mumbai
Maruti Dzire,2017,ZXI Plus AMT ,678299,75003,Petrol,Automatic,1st Owner,Mumbai
Hyundai i20,2014,ASTA 1.2 ,504399,47834,Petrol,Manual,1st Owner,Mumbai
Maruti Ciaz,2016,VDI (O) SHVS HYBIRD ,623499,73308,Diesel,Manual,1st Owner,Mumbai
Hyundai Grand i10,2016,SPORTS 1.2 VTVT ,463799,18210,Petrol,Manual,1st Owner,Mumbai
Hyundai Grand i10,2017,SPORTZ 1.2 KAPPA VTVT ,493517,24517,Petrol,Manual,1st Owner,Mumbai
Renault Kwid,2018,RXT 1.0 EASY-R AT OPTION ,447099,7228,Petrol,Automatic,1st Owner,Mumbai
Hyundai Elite i20,2017,SPORTZ 1.2 ,605299,29433,Petrol,Manual,2nd Owner,Mumbai
Hyundai Creta,2019,1.6 VTVT SX AUTO ,1432699,17464,Petrol,Automatic,1st Owner,Mumbai
